ID;PARENTID;TEXT;LINKTOPICTURE
88;87;Akcesoria sieciowe;https://www.komputronik.pl/category/2467/akcesoria-sieciowe.html;null
89;87;Anteny sieciowe;https://www.komputronik.pl/category/2581/anteny-sieciowe.html;null
90;87;Karty sieciowe;https://www.komputronik.pl/category/2372/karty-sieciowe.html;null
91;87;Modemy USB;https://www.komputronik.pl/category/15140/modemy-gsm.html;null
92;87;Monitoring;https://www.komputronik.pl/category/17025/monitoring.html;null
93;87;NAS - serwery plików;https://www.komputronik.pl/category/7071/nas-serwery-plikow.html;null
94;87;Przełączniki;https://www.komputronik.pl/category/5825/przelaczniki-switche.html;null
95;87;Przełączniki KVM;https://www.komputronik.pl/category/2551/przelaczniki-kvm.html;null
96;87;Punkty dostępu;https://www.komputronik.pl/category/2436/access-pointy.html;null
97;87;Routery;https://www.komputronik.pl/category/2371/routery.html;null
98;87;Serwery wydruku;https://www.komputronik.pl/category/2538/serwery-wydruku.html;null
99;87;Systemy Mesh;https://www.komputronik.pl/category/18141/systemy-mesh.html;null
100;87;Szafy RACK;https://www.komputronik.pl/category/2566/szafy-rack.html;nullsie
101;87;Transmitery sieciowe (powerline);https://www.komputronik.pl/category/7343/powerline-plc.html;null
102;87;Wzmacniacze sygnału;https://www.komputronik.pl/category/13954/wzmacniacze-sygnalu-wifi-repeatery.html;null
103;87;Zapory ogniowe (firewall);https://www.komputronik.pl/category/2547/zapory-ogniowe-firewall-.html;null
104;1;Inteligentny dom;https://www.komputronik.pl/category/16911/inteligentny-dom.html;/images/categories/inteligentnyDom.jpg
105;104;Asystenci głosowi;https://www.komputronik.pl/category/18719/asystenci-glosowi.html;null
106;104;Centralki do inteligentnego domu;https://www.komputronik.pl/category/18161/centralki-do-inteligentnego-domu.html;null
107;104;Czujniki inteligentne;https://www.komputronik.pl/category/17028/czujniki-inteligentne.html;null
108;104;Inteligentne gniazdka (Smart Plug);https://www.komputronik.pl/category/17026/inteligentne-gniazdka-smart-plug-.html;null
109;104;Inteligentne oświetlenie;https://www.komputronik.pl/category/18144/inteligentne-oswietlenie.html;null
110;104;Inteligentne ogrzewanie;https://www.komputronik.pl/category/18157/inteligentne-ogrzewanie.html;null
111;104;Inteligentne stacje pogodowe;https://www.komputronik.pl/category/18692/inteligentne-stacje-pogodowe.html;null
112;104;Kamery do monitoringu;https://www.komputronik.pl/category/7895/kamery-ip-do-monitoringu.html;null
113;104;Panele inteligentne;https://www.komputronik.pl/category/18323/panele-inteligentne.html;null
114;104;Piloty IR;https://www.komputronik.pl/category/18320/piloty-ir.html;null
115;104;Przyciski inteligentne;https://www.komputronik.pl/category/18322/przyciski-inteligentne.html;null
116;104;Sterowniki inteligentne;https://www.komputronik.pl/category/18327/sterowniki-inteligentne.html;null
117;104;Systemy alarmowe;https://www.komputronik.pl/category/18259/systemy-alarmowe.html;null
118;104;Wideodomofony;https://www.komputronik.pl/category/18189/wideodomofony.html;null
119;104;Zestawy do monitoringu;https://www.komputronik.pl/category/18127/zestawy-do-monitoringu.html;null
120;104;Zestawy inteligentnego domu;https://www.komputronik.pl/category/17029/zestawy-inteligentnego-domu.html;null
121;1;Oprogramowanie;https://www.komputronik.pl/category/5808/oprogramowanie.html;/images/categories/oprogramowanie.jpg
122;121;Antywirusy i bezpieczeństwo;https://www.komputronik.pl/category/2032/oprogramowanie-antywirusowe.html;null
123;121;Biurowe;https://www.komputronik.pl/category/2124/oprogramowanie-biurowe.html;null
124;121;Dla dzieci;https://www.komputronik.pl/category/3584/dla-dzieci.html;null
125;121;Graficzne, video i projektowanie;https://www.komputronik.pl/category/15149/oprogramowanie-projektowe.html;null
126;121;Książki i podręczniki;https://www.komputronik.pl/category/10422/ksiazki-i-podreczniki.html;null
127;121;Mapy do nawigacji;https://www.komputronik.pl/category/6336/mapy-do-nawigacji.html;null
128;121;Muzyczne;https://www.komputronik.pl/category/2240/oprogramowanie-muzyczne.html;null
129;121;Narzędziowe;https://www.komputronik.pl/category/2160/oprogramowanie-narzedziowe.html;null
130;121;Oprogramowanie dla Apple;https://www.komputronik.pl/category/5140/oprogramowanie-apple.html;null
131;121;Systemy baz danych;https://www.komputronik.pl/category/15155/systemy-baz-danych.html;null
132;121;Systemy operacyjne;https://www.komputronik.pl/category/1970/systemy-operacyjne.html;null
133;121;Zarządzanie firmą;https://www.komputronik.pl/category/15164/oprogramowanie-zarzadzanie-firma.html;null
134;1;Akcesoria | Eksploatacja;https://www.komputronik.pl/category/10217/akcesoria-eksploatacja.html;/images/categories/akcesoriaIeksploatacja.jpg
135;134;Akcesoria Foto;https://www.komputronik.pl/category/9622/akcesoria-fotograficzne.html;null
136;134;Akcesoria GSM;https://www.komputronik.pl/category/10243/akcesoria-do-telefonow-gsm.html;null
137;134;Akcesoria dla zmotoryzowanych;https://www.komputronik.pl/category/8971/akcesoria-samochodowe.html;null
138;134;Akcesoria USB;https://www.komputronik.pl/category/3192/akcesoria-usb.html;null
139;134;Druk - materiały eksploatacyjne;https://www.komputronik.pl/category/10532/materialy-eksploatacyjne-do-drukarek.html;null
140;134;Kable i adaptery;https://www.komputronik.pl/category/9407/kable-i-adaptery.html;null
141;134;Kosmetyka biurowa;https://www.komputronik.pl/category/3338/kosmetyka-biurowa.html;null
142;134;Nośniki danych;https://www.komputronik.pl/category/3394/nosniki-danych.html;null
143;134;Zasilanie;https://www.komputronik.pl/category/15706/zasilanie.html;null
144;1;Foto | Wideo;https://www.komputronik.pl/category/5807/foto-wideo.html;/images/categories/fotoIwideo.jpg
145;144;Drukarki sublimacyjne;https://www.komputronik.pl/search-filter/7789/drukarki-sublimacyjne;null
146;144;Aparaty cyfrowe;https://www.komputronik.pl/category/9308/aparaty-cyfrowe.html;null
147;144;Kamery;https://www.komputronik.pl/category/17905/kamery.html;null
148;144;Lampy błyskowe;https://www.komputronik.pl/category/4082/lampy-blyskowe.html;null
149;144;Obiektywy;https://www.komputronik.pl/category/1802/obiektywy.html;null
150;144;Statywy;https://www.komputronik.pl/category/1770/statywy-do-aparatow.html;null
151;144;Gimbale;https://www.komputronik.pl/category/18302/gimbale.html;null
152;144;Karty pamięci;https://www.komputronik.pl/category/611/karty-pamieci.html;null
153;144;Akcesoria do kamer sportowych;https://www.komputronik.pl/category/18099/akcesoria-do-kamer-sportowych.html;null
154;144;Akcesoria Foto;https://www.komputronik.pl/category/9622/akcesoria-fotograficzne.html;null
